"id","name"
1,"Sizzix Idea Book & Paper"
2,"Sizzix Sidekick Machine"
3,"Sizzix BigShot & BigKick Machines"
4,"Sizzix Texture Boutique (Machine or Beginners Kit)"
5,"Sizzix BigShot Express (US or UK Version-see country list)"
6,"Sizzix Hello Kitty Machine (Canada & Latin America only)"
7,"Sizzix BigShot Pro"
8,"Sizzix eclips (US or UK only)"
9,"Sizzix BigShot Express Machine by Tim Holtz"
10,"Sizzix Dies & Die Sets"
11,"Sizzix Textured Plates, Parts & Accessories"
12,"Sizzix eClips Catridges (US or UK only)"
13,"Sizzix Dies & Die Sets by Tim Holtz (Worldwide)"
14,"Sizzix Hello Kitty Dies (Canada & Latin America only)"
15,"Sizzix Rub-ons, clear stamps, storage boxes, totes"
16,"Prestige & RollModel Machines"
17,"Prestige & RollModel Accessories"
18,"Prestige & RollModel Starter Sets"
19,"SureCut Dies"
20,"3rd Party Products"
21,"AllStar Dies"
22,"AllStar Machine"
23,"AllStar Machine Accessories"
24,"AllStar Starter Sets"